dataset,method,reduction,class,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time_avg_ic
20ng,adaptive-cluster-is,0.40309016628485994,roberta,648.33,642.90,561.23,646.90,563.64,637.28,647.91,622.78,649.15,629.47,
20ng,adaptive-perplexity,0.35757104648370813,roberta,678.83,776.82,776.53,586.06,685.79,777.34,682.72,679.78,582.96,688.99,
20ng,autoencoder-is,0.24995577986228623,roberta,755.75,647.91,860.70,859.68,859.52,754.22,860.88,650.86,754.52,754.42,
20ng,biois,0.39107037981563786,roberta,654.75,652.62,747.87,655.34,656.01,654.91,655.65,653.68,748.11,655.90,
20ng,entropy-sublinear-ae-is,0.22468768222588711,roberta,784.87,775.42,871.74,786.39,780.14,678.51,901.34,788.10,659.57,784.13,
20ng,gmm-is,0.299951656431839,roberta,743.50,848.40,741.12,742.99,744.80,846.61,742.65,744.64,743.18,743.44,
20ng,no-is,0.0,roberta,1053.91,1051.44,1051.88,1051.41,1051.85,900.53,1203.36,1052.35,1052.06,1053.83,
20ng,sublinear-ae-is,0.249979367897558,roberta,757.97,966.29,754.52,753.99,859.38,755.12,754.69,754.79,861.42,860.83,
acm,adaptive-cluster-is,0.399276777462931,roberta,735.17,722.59,731.08,708.86,850.99,719.36,740.75,749.02,740.08,739.93,
acm,adaptive-perplexity,0.38016162992447516,roberta,874.70,860.83,743.82,749.35,743.37,741.52,740.42,747.88,864.65,741.72,
acm,autoencoder-is,0.2999647443549308,roberta,846.17,844.74,846.51,984.53,846.30,848.66,847.66,707.86,983.49,984.19,
acm,biois,0.3627299767991165,roberta,777.81,776.61,777.52,777.21,778.28,777.06,776.07,902.53,776.38,776.88,
acm,entropy-sublinear-ae-is,0.19215895186864532,roberta,774.60,921.44,1092.87,929.56,944.41,914.09,902.09,894.83,918.71,1026.16,
acm,gmm-is,0.2999602820613119,roberta,846.68,845.46,983.25,706.73,847.69,845.84,845.16,845.18,845.34,845.27,
acm,no-is,0.0,roberta,1186.22,1382.83,1384.95,1382.98,1185.67,1187.18,1186.32,1185.75,1185.66,1186.97,
acm,sublinear-ae-is,0.3499930798300666,roberta,862.33,740.80,740.49,861.15,861.42,740.65,740.80,861.78,740.86,863.42,
books,adaptive-cluster-is,0.4007032776775964,roberta,1134.03,817.84,976.32,993.26,1005.41,984.10,995.77,1002.52,1017.05,1013.18,
books,adaptive-perplexity,0.3954806605823127,roberta,985.52,985.27,992.47,985.69,984.42,824.50,981.86,983.67,981.64,974.93,
books,autoencoder-is,0.24997850151760975,roberta,1160.05,1348.31,1158.90,1160.11,967.84,968.29,1346.03,1156.93,1156.85,1158.96,
books,biois,0.36014698394800476,roberta,888.04,884.47,1224.18,1057.36,1054.37,1055.54,1054.89,882.99,1054.29,886.56,
books,entropy-sublinear-ae-is,0.1863163333933142,roberta,1489.70,1246.48,1257.46,1234.64,1246.37,1274.59,1258.60,1224.02,1257.09,1265.41,
books,gmm-is,0.2999874316968405,roberta,1133.39,1139.63,1136.26,951.39,1136.77,1137.38,1139.96,1138.93,1139.35,1137.02,
books,no-is,0.0,roberta,1612.14,1611.61,1610.49,1610.48,1612.79,1611.37,1612.43,1611.63,1611.65,1613.61,
books,sublinear-ae-is,0.2499983465062037,roberta,1346.70,1158.63,1344.96,969.31,1157.84,1345.34,1158.99,1345.05,969.97,1159.31,
dblp,adaptive-cluster-is,0.40834386213980556,roberta,1270.06,1138.99,1138.16,1090.38,961.62,1126.29,1139.15,1302.21,1336.22,1123.75,
dblp,adaptive-perplexity,0.4041707428436757,roberta,1097.68,1108.78,1276.25,1103.77,1103.28,1090.96,1108.64,1088.81,1097.53,1096.54,
dblp,autoencoder-is,0.24997668675005638,roberta,1317.62,1317.15,1317.04,1530.64,1316.49,1319.58,1316.85,1318.01,1315.75,1532.10,
dblp,biois,0.3403418921402079,roberta,1228.65,1225.81,1225.19,1226.41,1226.29,1228.41,1225.90,1228.63,1228.97,1227.21,
dblp,entropy-sublinear-ae-is,0.16870948874222738,roberta,1452.16,1704.76,1462.16,1454.05,1483.54,1694.72,1485.42,1678.58,1714.24,1449.15,
dblp,gmm-is,0.29998368074202386,roberta,1501.47,1285.82,1498.79,1287.15,1285.53,1288.45,1288.36,1077.66,1288.52,1302.71,
dblp,no-is,0.0,roberta,1819.15,1818.18,1516.36,1818.02,1817.09,1820.56,1818.88,1818.05,1818.78,1818.05,
dblp,sublinear-ae-is,0.24998834337502818,roberta,1326.26,1324.28,1538.55,1325.28,1324.03,1324.15,1322.15,1322.17,1322.81,1322.24,
movie_review,adaptive-cluster-is,0.42021510287094177,roberta,258.63,294.19,303.28,295.97,300.85,302.33,305.01,299.91,247.41,261.17,
movie_review,adaptive-perplexity,0.3620855050556283,roberta,272.57,330.00,272.95,327.37,276.22,381.19,274.61,274.35,272.86,326.99,
movie_review,autoencoder-is,0.24990099878770922,roberta,367.67,305.51,367.51,307.34,305.65,365.40,305.72,305.68,305.48,366.01,
movie_review,biois,0.3440046617044057,roberta,335.68,280.63,279.15,333.52,279.85,278.61,334.03,334.14,278.99,278.53,
movie_review,entropy-sublinear-ae-is,0.2972134591862468,roberta,291.26,280.39,282.81,338.84,304.74,338.80,342.97,343.50,348.13,285.72,
movie_review,gmm-is,0.2998186711894243,roberta,370.58,309.31,368.83,309.39,368.64,309.39,309.46,309.49,309.66,309.34,
movie_review,no-is,0.0,roberta,423.76,507.40,507.22,423.11,422.98,507.92,423.10,507.70,507.77,509.37,
movie_review,sublinear-ae-is,0.24991141871037545,roberta,308.64,307.70,365.89,365.83,306.35,306.30,306.37,366.49,306.60,308.30,
mpqa,adaptive-cluster-is,0.45109699366426986,roberta,341.06,235.48,231.87,243.23,280.86,278.36,240.48,237.98,287.51,330.33,
mpqa,adaptive-perplexity,0.2613930956795235,roberta,312.76,373.20,431.32,311.99,391.40,371.08,381.82,545.63,320.34,384.06,
mpqa,autoencoder-is,0.2499633337822089,roberta,377.28,363.58,304.59,363.09,422.25,362.96,363.23,303.65,422.27,303.87,
mpqa,biois,0.30670270511719216,roberta,295.40,292.62,408.19,292.06,350.76,292.71,350.58,408.72,294.32,350.73,
mpqa,entropy-sublinear-ae-is,0.3051100705393103,roberta,282.07,337.26,343.11,343.24,288.03,333.82,337.10,383.78,336.27,282.80,
mpqa,gmm-is,0.2998302855342338,roberta,428.22,368.23,368.44,369.28,546.07,368.47,368.85,370.03,309.50,310.46,
